"Molen De Korenbloem","1"
"|Rapenhofje","1"
"art nouveau stijl","1"
"De Pauw (molen)","1"
"Leidsebrug","1"
"Stadsschouwbug|Hirsch gebouw","1"
"marmottenhuis","1"
"Stadhuis Weesp","1"
"P.C. Hoofthuis","1"
"tempel","1"
"Café-Koffiehuis De trein","1"
"Werkspoormuseum","1"
"|Willemsbrug","1"
"Centraal Station|Noord-Zuid Hollandsch Koffiehuis|Havengebouw","1"
"Sint Vincentiusschool ","1"
"Scheepvaarthuis|'s Lands Zeemagazijn|Montelbaanstoren","1"
"Kantoorgebouw ""Noortse Bosch""","1"
"|Scheepvaartmuseum","1"
"Brug 151|Willemsbrug","1"
"Muiderpoortstation","1"
"Regenboog Liefdehofje","1"
"Concertgebouw|Stedelijk Museum","1"
"Claes Claeszhofje|Anslo's hofje","1"
"Diamantbeurs","1"
"Cynthia Hotel","1"
"Willem de Zwijgerkerk","1"
"Binnengasthuis|Brug 218","1"
"Molen 'De Korenbloem'","1"
"Hofje Liefde is het Fondament","1"
"Haarlemmersluis|","1"
"Nieuwe Kerk|Ronde Lutherse Kerk|Mozes en Aäronkerk","1"
"Makelaars Comptoir","1"
"Sint Nicolaaskerk|","1"
"Dorpskerk Holysloot","1"
"Karthuizerhofje|Huiszittenweduwenhof","1"
"Leprozenpoort","1"
"Fysiologisch Laboratorium","1"
"Sint-Pancratiuskerk","1"
"Villa Rosa","1"
"Roode Huys|De Wildeman","1"
"De Witte Lelie","1"
"beurspoortje","1"
"kraamkliniek van binnengasthuis","1"
"restauratiepand","1"
"Westerkerk|Noorderkerk|Oude Kerk|Zuiderkerk","1"
"De Nieuwe Oosterbegraafplaats","1"
"Telegraafgebouw","1"
"Bloemenmarkt","1"
"Zuiderschool","1"
"De Zeven Provinciën|Overyssel|Utrecht|Holland|Gelderland|Zeeland|Vriesland|Groeningen","1"
"Pieter Goemansbrug","1"
"Stadsturfpakhuizen|Arsenaal","1"
"|Stadsbank van Lening","1"
"Centraal Station|Noord-Hollands Koffiehuis","1"
"Hofje van Venetië","1"
"Sandrina Louisa Geertruida Holthuysen Stichting","1"
"Cromhoutpanden","1"
"Oude Lutherse Kerk|Ronde Lutherse Kerk","1"
"Sint-Ritakerk","1"
"Huis van Loon","1"
"Sint-Willibrordus buiten de Veste","1"
"Centraal Station|Waag (Nieuwmarkt)","1"
"Sarphatihuis","1"
"Oud-Katholieke Kerk","1"
"Rijksbelastingkantoor","1"
"Beurs van Berlage|warenhuis de Bijenkorf","1"
"politiebureau","1"
"'t Binnenhuis","1"
"Universiteits Bibliotheek|Handboogdoelen","1"
"Jachthaven de Omval ","1"
"Koninklijk Theater Carré|Hogesluis","1"
"de Zaaier","1"
"Handboogdoelen|Universiteitsbibliotheek","1"
"Zonnehuis","1"
"Aquariumgebouw","1"
"Pakhuis de Eikeboom","1"
"museumscheepswerf 't Kromhout","1"
"gevelsteen leggen van eerste steen ","1"
"De Eikeboom","1"
"Huis de Pinto|Zuiderkerk","1"
"urinoir","1"
"het blauwe theehuis|Blauwe Theehuis","1"
"monument van Vondel","1"
"Hogesluis|Brug 246|theater Carré","1"
"Het Blauwe Theehuis","1"
"De Palmboom","1"
"Bewaarschool Amsterdams Welvaren","1"
"jachthaven Berlage|Brug 324|Berlagebrug","1"
"diamantbewerkersbond","1"
"Berlagebrug|Brug 423","1"
"watertoren","1"
"eerste openbare handelsschool|Brug 98","1"
"anslo's hof","1"
"scheepswerf 't Kromhout|Brug 80","1"
"kantoor van het NIOD","1"
"krul","1"
"café Noord Holland 1907","1"
"Hogesluis|Brug 246","1"
"sierlantaarnpaal","1"
"warenhuis Metz|Brug 43","1"
"het huis aan de 3 grachten","1"
"	Eerste Openluchtschool voor het Gezonde Kind","1"
"kinderkliniek binnengasthuis","1"
"Oude Kerk|Ons'Lieve Heer op Solder","1"
"Hogesluis|Theater Carré","1"
"gasthuispoort","1"
"Blauwbrug|Stopera","1"
"|Brug 266|vierde ambachtschool","1"
"Montelbaanstoren|Sint Antoniesluis","1"
"politiepost|cafetaria","1"
"Brug 223|Brug 225","1"
"ingestort pand","1"
"gevelsteen hand met kroon","1"
"gemeentegirobus","1"
"balkenconstructie","1"
"|Scheepswerf 't Kromhout","1"
"Overhoekstoren","1"
"Dr. Dünnerbrug","1"
"Brug 42","1"
"Bossche Hofje|Raepenhofje","1"
"gemaal","1"
"De Krakeling","1"
"Lettergieterij Tetterode","1"
"Rijpenhofje|r.k. kerk de Zaaier","1"
"pakhuis de pelikaan","1"
"Boomspijker|Jan de Liefde-school","1"
"Centraal Station|Zilveren Toren|Havengebouw|Ibis Hotel","1"
"Huis Neufville","1"
"Muziektheater|Blauwbrug","1"
"Westerkerk|De Duif","1"
"Raphaëlpleinkerk","1"
"Westerkerk|Ronde Lutherse Kerk","1"
"Roothaanhuis","1"
"Oost-Indisch Huis|Paleis op de Dam","1"
"Centraal Station|Dominicuskerk","1"
"Stadhuis","1"
"Gebouw Zuid-Holland","1"
"Gebouw voor den Koffiehandel","1"
"Huize Halve Maen","1"
"effectenkantoor","1"
"De Bijenkorf|Beurs van Zocher|Nieuwe Kerk|Paleis op de Dam","1"
"Elisabeth Otter Knol Stichting","1"
"Eben Haëzerschool","1"
"De Drie Fleschjes","1"
"Westergasfabriek|Westelijke bazenwoning","1"
"Doelenhotel","1"
"Villa Klatte","1"
"'t Kasteel van Aemstel","1"
"Hugo de Vries Laboratorium","1"
"Felix Meritis|Trippenhuis|Agnietenkapel","1"
"Badhuis Vogeldorp","1"
"Joop Westerweelschool","1"
"De Drie Haringen","1"
"Stadhuis-Muziektheater|Blauwbrug","1"
"Huis van Bewaring|Paradiso","1"
"Cronenburg","1"
"|Bioscoop Cinétol","1"
"Spinhuis","1"
"Molen ""de Hoop"" in Nieuwendam","1"
"Rembrandttoren|GEB Bedrijfsmuseum","1"
